dates,bjt7,bjt8,bjt9,bjt10,bjt11,bjt12,bjt13,bjt14,bjt15,bjt16,bjt17,bjt18,bjt19,bjt20,bjt21,bjt22,bjt23,bjt24,bjt25,bjt26,bjt27,bjt28,bjt29,bjt30,bjt31,bjt32,bjt33,bjt34,bjt35,bjt36,bjt37,bjt38,bjt39,bjt40,bjt41,bjt42,bjt43,bjt44,bjt45,bjt46,bjt47,bjt48,bjt49,bjt50,bjt51,bjt52,bjt53,bjt54,bjt55,bjt56,bjt57,bjt58,bjt59,bjt60,bjt61,bjt62,bjt63,bjt64,bjt65,bjt66,bjt67,bjt68,bjt69,bjt70,bjt71,bjt72,bjt73,bjt74,bjt75,bjt76,bjt77,bjt78,bjt79,bjt80,bjt81,bjt82,bjt83,bjt84,bjt85,bjt86,bjt87,bjt88,bjt89,bjt90,bjt91
1984-06-10,331.043388748716,331.648337500707,336.898918629889,335.072968292648,330.870925513741,328.366476434431,326.3781722314295,325.2446874086653,324.81203868741767,324.737692319584,324.6710580198218,324.3416958513336,323.58259605555565,322.3177688231818,320.53638539578236,318.26678605492566,315.556557759875,312.4603269068767,309.0344898075368,305.33712410781254,301.43115399520474,297.38898783217314,293.29692558058895,289.25727131201205,285.3848443532123,281.79225106972484,278.55654054012643,275.6669498617781,272.9878597777418,270.3217845726746,267.49222843131054,264.4158748996393,261.766218989952,261.766218989952,261.766218989952,261.766218989952,261.766218989952,261.766218989952,268.73059161209085,279.9079504350011,292.85620276278803,306.2550825042374,318.9152802638858,329.88695000423184,338.4848246865888,344.27944831849527,347.07832784215765,346.9051888871352,343.9784505463306,338.6876387734701,331.56539762850696,323.25045145443914,314.4320161109383,305.7616822403339,297.73022286463856,290.56887352628894,284.32737704445714,278.9748927550571,274.4631042756989,270.75373667496206,267.8248466395046,265.66607573691726,264.2679346764472,263.60741374351863,263.63163777005803,264.24237411151705,265.28654771298096,266.56106630021804,267.84391599935617,268.9682584800944,269.9592288857461,271.20806820608703,273.3413340438362,275.6506182572383,277.5272588802977,278.70308482279535,279.1616525451353,279.03104932970285,278.50181172530523,277.7690425430768,276.99651544282614,276.29993128289266,275.74705207539535,275.3698624561639,275.179869737307
1984-09-30,335.8843726041113,336.63768120196204,338.31974885895863,336.1123606967404,331.5375369517048,328.42984936297444,326.50804697878243,325.6645362409133,325.54630365033984,325.7086175587841,325.7693699046962,325.47025547132307,324.6752085076356,323.34154393158553,321.48579339219435,319.15502864238454,316.40740181565127,313.3017600098611,309.8944653710405,306.24111294375405,302.40103941659004,298.4429218484835,294.45010719779805,290.5243458344949,286.78580178677527,283.36427489912757,280.3694519477837,277.820263172701,275.54953409776596,273.32033074053095,270.9225873973116,268.23802968381926,265.29567630884526,262.3289323148411,261.766218989952,261.766218989952,261.766218989952,264.12651403420887,272.5315986617386,284.0436893240468,297.26028960170305,310.7769776295528,323.40747491815364,334.236090735886,342.61239450400353,348.1324145795466,350.619649600931,350.1072047779318,346.8189663697595,341.1479551137686,333.63095682671826,324.9176497120504,315.72654292038646,306.76534940911733,298.5770370949697,291.33776517083913,285.03965002154257,279.6234471922592,275.0336326360835,271.23441502572837,268.20990194692615,265.9574655007621,264.477023204008,263.7568592235929,263.7565811210365,264.38919363667424,265.50690509357133,266.8984685328254,268.30800126784766,269.48806636643394,270.3279366644001,271.219502425556,273.75991721845907,276.3360637149435,278.26257467686224,279.3618861281822,279.68882462231744,279.4157111184325,278.76008975317063,277.93148607785656,277.09833723304416,276.37224350787125,275.8105096463579,275.4339306680055,275.24610944316476
1984-10-16,341.2289369979819,341.8312850731867,341.1736554404981,337.99303867035064,331.6895718549883,328.3735695488057,326.81350972396615,326.64390028323345,327.1784018222153,327.7888649498468,328.05684131732994,327.76874456809355,326.86105271245174,325.3609846450262,323.33895930124595,320.87694062577816,318.0513448540628,314.9270380548553,311.55862833266673,307.9958398146663,304.2906146409863,300.50438775946697,296.71466456825675,293.0207278290845,289.5489069713388,286.456492174319,283.9211024673755,282.05283804127936,280.5948711602766,279.2343618143632,277.7073312897795,275.83697146473116,273.5723128351424,271.04335249100734,268.63495407600226,267.0774858011656,267.53400634325953,271.5596112494566,280.4075830980385,292.5797931948565,306.23858591072053,319.8763220371176,332.35399213100783,342.8355951362193,350.73663648841233,355.69621030612973,357.5629223865298,356.3845180974826,352.3942787419162,345.99162282923317,337.7187913034932,328.23829245974133,318.3127905446033,308.7642078218354,300.29429757355297,292.9135241065653,286.4958714388545,280.93912968956255,276.1820056043762,272.19573291378146,268.9752284205764,266.5310368376895,264.87974933503074,264.030825823435,263.9685536268111,264.6295265437971,265.8795274612244,267.4988210867347,269.18611916728975,270.57522174371684,271.24238251176473,271.04849158029015,274.77791073608853,277.8004476430238,279.7342483794431,280.64518739103016,280.7024816307549,280.148215378388,279.2468764246702,278.23402045183707,277.287695301056,276.5113355116705,275.93897152221433,275.5676568790411,275.3857276613945
1984-11-01,343.1628688891246,344.381457820738,342.773863314054,339.732486518671,330.760093149504,328.040320029968,327.40832071487364,328.5053824894205,330.062935974291,331.2563316946656,331.7002152886338,331.30008767559,330.1232680869,328.30612444563064,325.99551430720624,323.3182176423992,320.37049400846047,317.220146988872,313.91503252153933,310.4939112868485,306.9972335033455,303.4765764980612,300.00220244920564,296.6691973090433,293.60505246080976,290.98682910524457,289.0794709600991,288.23262474235923,287.96414915165616,287.874869498894,287.65618887655205,287.0685727741233,285.9595174054743,284.3149666008226,282.3429705542383,280.6040840744382,280.2375935091998,283.3537242678724,293.0627717578079,306.08589979941945,320.08428029770005,333.59081519766283,345.61336398638116,355.439692430024,362.5634851075726,366.6651636058507,367.613544736301,365.4689704695112,360.4767918957659,353.0480464141314,343.7322955757677,333.19520789686567,322.22230982061814,311.7730211271675,302.96734704917645,295.38416660747833,288.7517994099713,282.9457072943816,277.9114837519393,273.63071361116096,270.10893894775216,267.370123659728,265.4504837789709,264.3877429664766,264.2024851241876,264.86898721580707,266.277090691814,268.1984323454381,270.28704219143293,272.12449535300436,273.087480835573,270.691350200435,276.853046235836,280.07367717548965,281.84948633643677,282.45350701296314,282.1179681146895,281.1611441125081,279.9116587200257,278.6394033348034,277.54100355468677,276.7102225225593,276.13831824959254,275.78303663788887,275.6123676961955
1984-11-17,338.09987826132465,339.596129724171,340.324978563354,337.743515217085,332.034345568242,326.883205821317,328.6741835710521,331.958300003562,334.81587672110174,336.51625334019093,336.8996339883488,336.1033370297473,334.3901724898159,332.0387276218618,329.28406545042424,326.29637520334313,323.1836469958888,320.0063856058914,316.7961276822198,313.573249793553,310.3622190824037,307.2037446471593,304.163580346226,301.3378818484068,298.8565488964626,296.8936928072878,295.735673129732,296.21111535104103,297.39717179111665,298.8954721033282,300.39123280660897,301.5890141869164,302.2291810215039,302.14220151144116,301.33641047450175,300.12444066564996,299.3409466077715,301.025415155064,311.99569823294036,325.38843680119743,339.0212209434094,351.75523776601005,362.80455135354805,371.5664721785556,377.58028875641475,380.5351809103099,380.29618425799197,376.92572182944633,370.68510091256525,362.01164533509444,351.4793302731633,339.75917406878574,327.6074520101988,315.979540221879,306.8314876320147,298.8824460054854,291.84954429174144,285.636377033243,280.196949461221,275.5124252514904,271.5882795839962,268.45446834553985,266.1638710272573,264.7856011651802,264.3877957120122,265.0014195652841,266.55681413428005,268.8000652424624,271.24555580431297,273.28757924797867,274.49530887656255,274.83883588358844,279.1778547312093,282.5719010234959,284.31868147966077,284.6237820453274,283.82465734288155,282.3780591301896,280.7068679896527,279.11250811535734,277.83459371289683,276.9684066150626,276.4237901385137,276.0986586353533,275.9429531814047
1985-02-21,327.17560411862945,326.040897078937,324.50427103269,323.989849649252,322.858445499622,327.0044375285663,333.05172480136395,338.5548743770522,342.31974552589287,344.00392710860064,343.7888778931511,342.1146536476869,339.4796110169714,336.3171192178904,332.94303689390205,329.55290703019074,326.2455440564375,323.0552770797461,319.98264447329115,317.019603420621,314.169183582463,311.4608291920743,308.96222345839686,306.7878175168201,305.1057445262422,304.1505252348861,304.2534860476032,305.828494311579,308.4405459536084,311.70124323674065,315.25438033108463,318.7340982973211,321.7720026954239,324.05769770313367,325.46033876216757,326.22420346151785,327.2689516691604,330.6356815426936,339.52782276021946,350.8898552643075,362.6705639114409,373.678058208048,383.12263461108483,390.39447567118617,394.9983278050494,396.57095510771194,394.9318421420424,390.1278156858201,382.4435115253351,372.37078086184135,360.5535676570628,347.73697194572424,334.7529615285042,322.5700373305206,312.28625990109117,303.4387049553056,295.7048943678484,288.9091041868125,282.9516319603698,277.7792025763081,273.3767870738121,269.7667712729376,267.0099087088847,265.20439830330537,264.4760318978858,264.9436802672783,266.63217813196815,269.3075225549394,272.3000300946821,274.6921034573562,276.4478216607867,278.2631316460199,282.13717990352893,285.6271948194021,287.1349604185757,287.06440575894567,285.7345009304216,283.75394025406246,281.636492918469,279.6505404697121,278.1543922862711,277.303276166988,276.82580539806395,276.5358730298671,276.387870446124
1985-03-09,319.6065816191398,319.5024858146999,320.22603285477385,322.9044891948584,327.2397960068327,334.8745073958159,343.05497844456823,349.50772372018656,353.147093608364,353.8870379508228,352.2638978654776,349.0619717151286,345.0353781227045,340.7617429047774,336.60640774284974,332.7519604988161,329.25281560616264,326.08978468477534,323.2135735466708,320.57573767669214,318.15074709945003,315.95354261868687,314.054538721708,312.5909045074398,311.7710964334318,311.8697574215693,313.2015047035141,316.0120975996447,320.1505839789732,325.34167662219437,331.24453613431353,337.4455717615612,343.46763909691344,348.83554999268944,353.2244170728394,356.6915321756337,359.9307740934186,364.3540945920343,371.4215347376988,380.1213343263972,389.23563890651644,397.8394936710599,405.20905642061746,410.70098528555644,413.7240071541082,413.7943117214884,410.63250999166087,404.2474090764066,394.95832629815,383.3443089563924,370.1534971670358,356.2164684512821,342.38875986398386,329.50404476591865,318.21183886432544,308.43226496475,299.9335740775092,292.5092812815968,286.0070699344801,280.3283950713701,275.4256941195081,271.3016971673558,268.01237840752566,265.6739080146905,264.46953148597606,264.63906268619127,266.39962262215425,269.68479174272477,273.60326852658176,276.24925053559764,278.1796091312452,280.28541683883077,284.74800097240137,288.928833815484,289.89307901033476,289.54539270409913,287.74730953036425,285.32594808276224,282.8562074566595,280.3335005933786,278.4933718957392,277.76538678680146,277.39237328318427,277.1043109388679,276.92926398911465
1985-03-25,316.553418412235,318.3432693071572,322.4207721123193,329.17923064920035,338.1501343638309,348.6626663359621,358.2393097204797,364.7044530502392,367.13709530476024,365.83791142245786,361.84257111461216,356.3780093514742,350.47962606837035,344.8368304071974,339.8049758145887,335.49270708549045,331.8611052058493,328.80434386667406,326.20368868597353,323.9591034154169,322.0088677999163,320.34680267708427,319.04037924539443,318.24560385582254,318.2077789917446,319.2381544639736,321.6607702865906,325.71381296293833,331.4162885923492,338.6272238170927,347.0690703045957,356.3130940207899,365.76996363855676,374.738225939925,382.56368084293973,388.91547713320654,394.05709205165493,398.85095222059675,404.20485392893687,410.1203319166011,416.2431655510983,422.1261941344661,427.2298075002692,430.8933325030824,432.3793953618606,431.00476319367357,426.32224636264453,418.27661350964286,407.2455874707601,393.9433072067452,379.26132658814697,364.12383001259974,349.3859462388337,335.75392995948914,323.6695573739127,313.1566249512941,304.03910289239747,296.09750305231665,289.1398475941768,283.0272880608547,277.67938765723846,273.07329409007104,269.2465257743105,266.3102844547893,264.47805336312393,264.10749692217263,265.7137228321467,269.7413323511811,275.37658533016605,277.69274893386864,279.2379358279603,280.1992054734516,286.10005584368633,291.9626579329654,291.4666938280332,291.6188767955657,289.79669910511103,287.3750284332089,284.91000721121827,281.40564004781805,278.80350614484695,278.46151126702654,278.1722860529867,277.76475831449443,277.48585663599675
1985-04-10,316.51831257012185,320.26919869614653,327.85763858264227,339.00173493877867,352.51696630281754,366.3102311041625,377.37262044151555,383.32112538286356,383.5338628981744,379.0193525704044,371.6146033003091,363.16258752461556,355.0023478412528,347.8638664061179,341.9941873788502,337.34226300677517,333.7167450341616,330.89233847401863,328.66702727969107,326.8841201431249,325.44070267188977,324.30079414516297,323.51809384247247,323.2609277412447,323.8147604426403,325.54284363632775,328.819469284089,333.94848450803624,341.0884292772625,350.24145306526407,361.23409484283115,373.6664304223583,386.8475566165849,399.7815613218916,411.31444059025574,420.51411867296565,427.11835490515506,431.6739264375378,435.0783969854507,438.03736270536666,441.00299040107313,444.09180741023454,447.0139216836764,449.08666015319426,449.35511018947227,446.8244505320023,440.77746188349016,431.06322484516267,418.1718676687918,403.0376037969389,386.75923339323947,370.37997107291585,354.7578440584038,340.4979091055856,327.907822792145,316.98524236897276,307.5405391205512,299.3243936780616,292.1094351596844,285.72742383016913,280.0754134417062,275.1091699131306,270.84015629647087,267.34718041182475,264.8143013388302,263.6213048838796,264.53591236318334,268.98472234217826,278.12768894132756,278.3742960237354,279.630258883564,277.548334301733,285.296949147746,293.190295017076,289.385203326657,292.537242171843,292.075689678425,290.92857098101,289.20559348807745,283.3634269853266,278.86173821976945,279.57832725582927,279.1175841699551,278.35498367831326,277.88478204211145
1985-04-26,317.37148408621,322.91093674633487,333.8702878060799,349.55577910778624,368.08613448223394,386.0832903355956,399.2054220926745,404.2804091008152,401.1725561291382,392.1249222206764,380.23645443728117,368.1920146154992,357.60050936617307,349.0806035807177,342.6181108222336,337.8939016703154,334.5038867371551,332.08104855742533,330.3420317118729,329.08239497753425,328.15985023123744,327.4989157972439,327.12151959368134,327.198093231754,328.06558106066285,330.1625096293887,333.94420562145496,339.8110215538783,348.0568183080759,358.8399936461429,372.13928812355925,387.65920716515217,404.6698717826112,421.8471519598015,437.3339502522783,449.31249233604416,456.8777955885368,460.53107963342774,461.4711318183988,461.10297008152116,460.73271028052363,461.0953729204764,462.1607993652212,463.1785124503208,462.8666000330353,459.74888839259586,452.670244050064,441.33925407651486,426.47699022551006,409.38739692448615,391.4706045523078,373.9202204801493,357.5953540971714,342.99803723209266,330.30035361699646,319.3991540982095,310.02720784271975,301.8766887401167,294.6843075427523,288.26944697708905,282.5292321460012,277.416733975858,272.92712976139575,269.10172704265483,266.05265385415015,264.0331789857433,263.6538772913927,266.811177636632,281.95079337709,276.335270814878,278.016804583395,277.761658245884,282.905821833018,282.14212737223,282.109417179142,289.78603134469296,295.8157435491895,299.6411769721352,298.40001972836325,286.8498242313649,278.38999975274,281.122014916588,279.7229097190167,278.5130842578058,277.9285590233841
