,stationarity,autocorr_min,lag_min,entropy,linear_trend_slopes,linear_trend_intercepts,linear_trend_rvalues,linear_trend_pvalues,linear_trend_stderr,linear_trend_intercept_stderr
bjt7,0.0,-0.3656720711789123,636.0,0.28220116733496803,3.6003294209269443,330.9253989045408,0.9166934429032851,0.0,0.04997992254785106,1.1134089745520412
bjt8,0.0,-0.371226231252877,638.0,0.28306531389200495,3.5540146315237355,328.8842745902104,0.918117732955172,0.0,0.048855665966777366,1.088363770332923
bjt9,0.0,-0.37524922599031507,639.0,0.2934303471310762,3.4166302030819233,327.89345071964,0.9201571182862871,0.0,0.04630032218009225,1.0314380577643
bjt10,0.0,-0.38650207651943647,638.0,0.32303023381528506,3.361740997774834,324.93638325971114,0.9262201604594906,0.0,0.04357459692928755,0.9707167360474949
bjt11,0.0,-0.3807428232305716,622.0,0.37443164185687605,3.3199416491876055,322.2910787128925,0.9112466916043219,0.0,0.047786660045395404,1.0645493919577582
bjt12,0.0,-0.3515943556783516,622.0,0.3317791055099215,3.2193007883196167,322.6518364637369,0.8696263031515213,1.6951129638403175e-304,0.058205339431315305,1.2966476134017275
bjt13,0.0,-0.3402789120256065,615.0,0.3103507228628346,3.156089067581068,322.35623802147006,0.8366261563004975,5.538532363512595e-260,0.06580834986774595,1.4660208261238965
bjt14,0.0,-0.3570289117965601,631.0,0.3509024104965346,3.256556414529796,318.993644450429,0.8498790846189708,1.4539407476272976e-276,0.06430656028980535,1.4325652721988797
bjt15,0.0,-0.37394728451899156,631.0,0.380809246069326,3.385099789378689,314.8369755391817,0.8723184162436356,1.170867383267456e-308,0.06042434648444399,1.3460807105655401
bjt16,0.0,-0.38405426151778566,631.0,0.3856717685755435,3.5386884326969175,311.35424987211604,0.9039900407220178,0.0,0.0533004286898316,1.1873803044394915
bjt17,0.0,-0.38541489742554186,628.0,0.3514287126233804,3.6452357800548776,308.19417001824644,0.92498221808198,0.0,0.047692408333787545,1.0624497348110187
bjt18,0.0,-0.3808016247906754,628.0,0.3090505169382197,3.741243674410094,304.99154281817397,0.932729362436619,0.0,0.04605960228949474,1.0260755107077724
bjt19,0.0,-0.37513048900632645,627.0,0.3037228925769756,3.7644349822580803,302.41835216819436,0.9336028312676957,0.0,0.046010568576920645,1.0249831805709393
bjt20,0.0,-0.3692596665678947,713.0,0.2722312262707919,3.7274568034531605,300.1709201086034,0.9259648022406327,0.0,0.04840865057308871,1.0784055525982046
