dates,bjt6,bjt7,bjt8,bjt9,bjt10,bjt11,bjt12,bjt13,bjt14,bjt15,bjt16,bjt17,bjt18,bjt19,bjt20,bjt21,bjt22,bjt23,bjt24,bjt25,bjt26,bjt27,bjt28,bjt29,bjt30,bjt31,bjt32,bjt33,bjt34,bjt35,bjt36,bjt37,bjt38,bjt39,bjt40,bjt41,bjt42,bjt43,bjt44,bjt45,bjt46,bjt47,bjt48,bjt49,bjt50,bjt51,bjt52,bjt53,bjt54,bjt55,bjt56,bjt57,bjt58,bjt59,bjt60,bjt61,bjt62,bjt63,bjt64,bjt65,bjt66,bjt67,bjt68,bjt69,bjt70,bjt71,bjt72,bjt73,bjt74,bjt75,bjt76,bjt77,bjt78,bjt79,bjt80,bjt81,bjt82,bjt83,bjt84,bjt85,bjt86,bjt87,bjt88,bjt89,bjt90,bjt91,bjt92
1984-06-10,334.076519550456,352.554197190767,361.821521809157,363.619281698138,356.206688573994,353.174551966671,345.761958835838,337.899925735988,330.48733260845,323.074739479253,310.832249856565,302.520776780789,300.38752011921,297.355383514284,289.942790382606,286.910653781287,283.429077200357,281.295820540487,282.644140455998,284.44190035155,281.409763745236,269.616714093822,262.204120965977,259.171984357995,256.139847753994,258.387047615306,260.184807508903,261.982567398308,258.950430790058,255.91829418713,253.785037524285,255.133357445386,252.550660812024,249.069084234609,250.866844123339,258.393380454617,257.551472110491,256.709563764387,254.576307108998,256.374066996483,244.581017343029,236.718984245495,238.067304162713,235.484607529586,246.942160415376,243.460583836192,240.428447228142,238.295190567426,240.092950458637,237.060813853867,243.688470241033,245.486230130027,242.903533493891,235.490940369205,232.458803762785,229.42666715556,231.673867024302,235.661855172765,239.649843324231,241.447603214506,243.694803080715,245.942002943414,247.739762831739,244.258186258169,246.50538611768,248.752585981412,254.930802395042,262.00789875633,265.995886906207,270.010260778553,271.886965376018,272.970806028655,273.000692846426,282.515278760427,277.771863745995,268.285032176507,273.028449956526,268.285034325309,268.285035552622,268.285037087506,268.285038623571,268.285039852068,268.285040777931,263.541626070173,265.913335418342,277.771877872479,282.515295959985
1984-09-30,,368.784674967814,371.031874828562,367.999738221592,364.967601620957,357.55500849015,338.292394105688,321.220007986438,323.017767878275,317.795403010848,295.893120396225,285.840859031235,,273.205901034549,279.384117445814,277.250860789417,274.218724180976,271.186587576065,282.644140455998,280.061443828124,272.648850698378,273.997170617277,283.264495238996,307.021509344974,286.860015018892,,,,,327.018421708827,328.816181596962,,,,,,269.401493364108,276.478589720709,268.616556624354,253.734398762246,244.131577370526,236.718984245495,231.047179405024,228.015042799409,228.072014404089,234.250230816765,240.428447228142,233.015854098984,234.813613990184,231.781477385458,229.648220725679,,,,,,,,,,225.274097041862,,,,,,,,,490.773787271171,,534.006180621044,500.719726987017,,,,,,,244.567954636244,249.311372723965,246.939665523119,244.567958326668,244.567959863566,,301.488960630698,
1984-10-16,,335.874279441204,337.672039329447,316.668636656168,308.806603559529,305.774466952206,307.572226840783,304.540090236888,297.127497109327,285.334447456669,279.213202646664,,,,,,,,,241.871711833046,244.118911695201,245.916671586592,242.435095009725,244.682294870144,246.929494734602,246.087586389187,,,,,,,,,227.616241588596,229.863441451451,241.32099433339,237.839417753109,226.046368105827,227.394688020783,,,,225.82481453769,222.792677935659,219.760541328958,221.55830121686,219.425044556141,,,,,,,,,,,206.739447797621,223.026897175653,219.994760573481,222.241960436183,214.829367305125,221.007583723424,222.805343610452,224.603103501719,231.680199860224,242.688312772561,249.315969156648,255.547539352596,248.176911405754,249.256344788866,249.283954901449,254.054780064469,249.311364436186,244.567949725244,249.311367505263,249.311368732636,249.311369959974,239.824538391568,235.081123068993,239.824540542114,244.567958326668,239.824543618911,,,
1984-11-01,348.116769065811,360.023761920948,352.611168789752,349.579032182796,342.166439058637,343.514758974794,331.721709320489,328.68957271655,321.276979589064,310.775278253172,295.893120396225,288.031087292975,280.618494162943,282.416254053937,284.66345391421,279.441089051163,273.319844235941,261.526794584165,258.494657976297,258.55162958261,267.818954202429,273.997170617277,275.345490536359,259.171984357995,256.139847753994,253.107711146854,,,,,,,,244.688627711125,251.316284095826,262.773836978138,269.401493364108,271.199253252237,263.786660128416,256.374066996483,248.961473866473,241.099440768917,,,,,,,,,,,,,,,,,221.229137285468,223.026897175653,227.014885331162,231.002873483104,228.869616820458,230.217936742825,227.185800133877,224.603103501719,231.680199860224,247.967649240984,249.315969156648,260.368446494582,262.287472453436,258.812649666663,258.860133106681,258.798196616111,258.798197539455,263.541615624851,258.798199994661,258.798201528972,258.798203063266,258.798204291184,254.054788968599,249.311373645432,254.054791736835,258.798209211525,,,
1985-02-21,,330.59494297274,342.951375797868,353.95948870625,351.376792078056,343.964198947254,336.102165843955,326.049904482371,315.997643120608,310.775278253172,295.893120396225,283.650630769494,280.618494162943,278.035797530496,280.282997390729,274.611192555227,274.218724180976,268.996359314351,263.324554472237,265.571754340273,262.539617733958,260.406361074423,249.90465973988,244.682294870144,246.929494734602,241.25768989324,,,,,,,,,227.616241588596,234.243897974972,236.041657865001,237.839417753109,239.637177648725,236.60504104016,,,224.476494619744,225.82481453769,227.173134459115,229.420334320829,226.837637685316,219.425044556141,,,224.368884257277,230.996540642178,226.223615744339,220.551810908905,218.418554247437,,212.354281040566,219.431377395691,223.419365547184,227.407353699144,225.274097041862,231.452313455586,228.869616820458,230.217936742825,227.185800133877,224.603103501719,240.44111290725,247.967649240984,244.486072660703,246.306743375651,252.976657867045,258.812649666663,258.732300210622,256.426488186817,258.798197539455,263.541615624851,263.541616853244,258.798201222024,263.541619307944,263.541620842831,258.798205827279,254.054790504123,254.054791736835,254.05479296687,,,
1985-03-09,,319.194361691641,340.311707563658,342.109467452635,332.506646066762,331.664737721178,321.163036383655,313.750443256326,315.098763175593,298.47581702709,291.063223900279,288.031087292975,,268.376004538602,270.173764426395,267.141627825103,259.729034693129,257.146338060737,258.944097948766,260.292417871799,258.159161210529,262.147149363662,262.204120965977,259.171984357995,251.759391230548,243.897358127466,240.865221525153,242.662981414555,240.080284778761,241.878044671776,248.505701055864,250.752900921955,256.931117335496,254.348420702999,251.316284095826,253.563483958688,255.361243848749,252.329107240959,247.106742378862,241.884377508633,244.131577370526,236.718984245495,238.067304162713,235.484607529586,241.662823946946,229.869774293273,226.837637685316,228.635397575535,229.983717494237,230.040689096192,231.838448987417,233.636208876413,229.312723950974,230.661043873264,232.458803762785,225.046210632143,222.014074032434,228.192290442609,226.059033781417,232.686690167525,234.484450061288,231.002873483104,228.869616820458,225.837480219367,227.185800133877,224.603103501719,236.060656383737,238.307856249099,244.486072660703,246.306743375651,253.265336203237,254.034497227764,258.860133106681,258.798196002218,254.054781294732,254.054782214521,254.054783749962,258.79820183592,258.798203063266,258.798204291184,261.169913642573,263.541622993377,263.541624226298,268.285042314829,268.285043847647,268.285044769192,282.515295959985
1985-03-25,,352.554197190767,347.331832321331,346.939363948579,336.887102590243,339.134302451315,336.102165843955,321.220007986438,306.337850128714,294.095360503616,286.682767376834,288.031087292975,280.618494162943,282.416254053937,280.282997390729,274.611192555227,269.838267657544,271.186587576065,270.794119202382,261.191297816847,267.818954202429,279.276507085709,283.264495238996,280.232358630985,270.180097269331,262.318064166243,254.456031068056,247.942317882952,251.930306032378,261.197630655532,249.404581000822,243.283336191772,245.08109608188,249.069084234609,251.316284095826,255.753712220448,259.741700372234,253.227987186004,249.296970640602,247.163713977105,244.131577370526,236.718984245495,233.686847639193,230.205271061128,237.282367423489,234.250230816765,231.218094208755,228.635397575535,234.813613990184,232.680357330396,227.008552491478,230.996540642178,233.24374050202,235.041500396729,236.839260286251,234.256563651512,247.904344801417,243.580859875405,235.718826773314,237.067146691015,244.14424305316,236.282209951529,233.250073343896,230.217936742825,232.015696629828,229.432999997657,236.060656383737,238.307856249099,244.486072660703,246.306743375651,248.176911405754,254.210798182467,254.10400222808,256.426488186817,256.426489417094,254.054782214521,258.798200301603,258.798201222024,263.541619307944,268.285037087506,263.54162176489,268.285039852068,268.285041084832,268.285042007832,263.541627296002,265.913336646848,268.28504599799
1985-04-10,,302.514443942079,323.6317898141,321.049093179622,322.39741310243,324.195172991041,321.163036383655,313.750443256326,310.718306652153,298.47581702709,291.063223900279,279.270174246012,280.618494162943,278.035797530496,283.764573969294,277.250860789417,273.319844235941,266.806131052637,262.875114499768,251.082064852422,248.49936821863,249.847688137558,247.71443147815,244.682294870144,239.459930004433,234.687005108077,240.865221525153,242.662981414555,240.080284778761,241.878044671776,248.505701055864,245.473564453488,247.271324343617,254.348420702999,250.866844123339,258.393380454617,265.021036840622,261.539460260337,259.406203604936,256.374066996483,248.961473866473,236.718984245495,238.067304162713,239.865064053024,241.662823946946,233.800790844321,240.87788720065,243.125087063371,244.473406982078,246.271166873278,248.068926764509,254.696583149406,247.283990017382,244.251853416136,236.839260286251,234.256563651512,231.224427051866,228.192290442609,237.459615062515,241.447603214506,243.694803080715,245.942002943414,247.739762831739,244.258186258169,246.50538611768,243.473249513012,245.271009403181,251.898665791965,244.486072660703,246.306743375651,252.976657867045,263.414501150858,268.244561967825,270.656737534796,268.285030949637,268.285031869489,273.028449956526,275.400159306246,277.771868655915,273.028453946125,277.771871419862,282.515289200013,282.515290739731,292.002124766092,292.002125991945,292.002127220455,287.258712204619
1985-04-26,,,340.311707563658,342.109467452635,336.887102590243,331.664737721178,330.822829375538,326.049904482371,320.378099644048,305.945381757232,295.893120396225,288.031087292975,285.897830631377,282.416254053937,284.66345391421,279.441089051163,274.218724180976,268.996359314351,268.603890940647,272.591879097937,272.648850698378,269.616714093822,271.41447398538,282.872026865222,279.839890261223,274.617525392362,273.775617051806,271.642360390185,268.610223781931,265.578087179008,262.99539054369,264.793150437285,270.971366850848,277.599023237779,279.846223099,277.263526465924,279.061286355982,271.648693224759,268.616556624354,261.203963492433,253.341930389916,245.929337264868,242.447760686232,249.524857044919,250.873176966346,243.460583836192,250.537680192544,247.505543586819,249.752743450531,255.930959865159,253.348263232911,255.146023121927,257.393222981698,264.020879372377,260.988742765958,253.576149635322,246.163556512103,243.131419902921,244.929179792696,241.447603214506,239.314346557224,240.662666474989,242.460426363282,239.428289762226,237.295033098304,241.283021251273,245.271009403181,251.898665791965,249.76540912914,251.127650517636,257.776404328336,268.36895454446,263.552347537253,263.541612860806,258.798197539455,258.798198766177,258.798199994661,258.798201222024,275.400160533576,277.771869883829,277.771871419862,277.771872955386,277.771874188098,280.14358354046,282.515292888654,282.515294117167,282.515295345939
1985-06-29,,302.514443942079,323.6317898141,329.81000622653,329.866977832565,333.854965982917,331.721709320489,328.68957271655,321.276979589064,318.244842983314,306.45179333312,300.330548519048,299.488640174229,297.355383514284,289.942790382606,291.29111030478,293.088870192255,290.506173559865,292.303933447878,294.101693343451,296.348893205606,295.506984862779,294.665076520129,292.531819857123,298.710036272506,296.12733963787,293.095203035556,295.342402897417,297.1401627851,294.108026182179,293.715557808595,288.043752971995,285.910496311135,287.708256202106,284.226679622456,286.473879485374,288.721079347856,292.709067497751,294.506827393327,293.664919046515,291.531662384985,284.119069259949,273.617367923567,268.3950030562,263.172638192448,257.950273323998,254.918136715984,256.715896606213,258.513656497413,265.590752857039,272.218409244204,278.846065629154,280.643825516487,278.061128887726,270.64853575784,267.616399150643,255.823349503971,251.892332949839,254.139532812078,251.107396206377,252.905156100141,254.702915990335,256.950115851125,259.197315718484,251.784722586156,258.412378973289,259.760698890973,266.837795252272,273.465451636369,275.232186227566,276.975390173502,277.925259422257,277.820740173057,273.028445657144,273.028446887448,277.771864972801,277.771866201225,282.515283980235,287.258701759207,287.258702987122,287.258704216153,282.515289200013,282.515290125928,280.14358354046,282.515292888654,282.515294117167,299.117253430251
